id,carrier,player,approver,amountOfCarries,carryDifficulty,carryType,attachmentLink,time
165,990991977833197578,422221867840045076,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067571847077580940/transcript-closed-f7-25-crampedmink.html,2023-01-24 23:29:04
166,1025423349100318720,422221867840045076,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067571847077580940/transcript-closed-f7-25-crampedmink.html,2023-01-24 23:28:53
167,726716297114550273,1045091362653089933,,2,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067578295736090734/transcript-t4-eman-26-soaringmoose.html,2023-01-24 23:54:07
168,1025423349100318720,378388342779281409,,1,F5,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067585988404203540/transcript-closed-f5-25-meileo.html,2023-01-25 00:25:21
169,726660898793717800,1045091362653089933,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067594240839917669/transcript-t4-eman-26-soaringmoose.html,2023-01-25 00:58:05
170,1025423349100318720,221550697408233473,,4,F6,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067613630771777706/transcript-closed-f6-17-doni_the_dingo.html,2023-01-25 02:14:10
171,1025423349100318720,610129673673900044,,1,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067613637323264020/transcript-closed-f6-0-wenimchaindasuma.html,2023-01-25 02:14:58
172,1025423349100318720,610129673673900044,884589309037011015,10,F6,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067613637323264020/transcript-closed-f6-0-wenimchaindasuma.html,2023-01-25 02:14:20
173,726716297114550273,719000269748437054,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067640674624737300/transcript-t4-eman-24-thehaystack92.html,2023-01-25 04:02:40
174,481428035556605952,886162573534310430,,2,F5,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067641930764255282/transcript-closed-f5-19-nishpro.html,2023-01-25 00:34:24
175,481428035556605952,886162573534310430,,3,F5,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067641930764255282/transcript-closed-f5-19-nishpro.html,2023-01-25 00:34:42
176,481428035556605952,886162573534310430,,1,F5,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067641930764255282/transcript-closed-f5-19-nishpro.html,2023-01-24 23:53:50
177,726660898793717800,704064330274046016,884589309037011015,10,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067635877569892413/transcript-t4-eman-28-imintys.html,2023-01-25 03:42:19
178,726716297114550273,1045091362653089933,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067657214522826762/transcript-t4-eman-26-soaringmoose.html,2023-01-25 05:08:18
179,1025423349100318720,610129673673900044,884589309037011015,6,F6,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067671740337094656/transcript-closed-f6-0-wenimchaindasuma.html,2023-01-25 06:05:25
180,726660898793717800,320540773433081857,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067703352907018251/transcript-closed-t3-eman-20-buffalonftgroup1.html,2023-01-25 08:11:47
181,834371688963506217,940384200664703019,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067712263575830528/transcript-t4-eman-25-omittingcobra23.html,2023-01-22 23:36:38
182,726716297114550273,864787969947598848,356134481452597250,8,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067779179745124394/transcript-t4-eman-11-ymsking.html,2023-01-25 13:12:54
183,834371688963506217,1045091362653089933,,4,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067829708701564958/transcript-t4-eman-26-soaringmoose.html,2023-01-25 16:33:49
184,834371688963506217,956203203534393394,,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067847611366776922/transcript-closed-t3-eman-5-cyanqt.html,2023-01-25 17:44:25
185,1025423349100318720,738833093066227816,,1,F4,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067856222553919548/transcript-closed-f4-12-mokstv78.html,2023-01-25 18:18:53
186,834371688963506217,921771941713563668,,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067857963311697993/transcript-closed-t3-eman-24-plr_bear.html,2023-01-25 18:25:53
187,834371688963506217,921771941713563668,356134481452597250,7,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067857963311697993/transcript-closed-t3-eman-24-plr_bear.html,2023-01-25 18:26:04
188,1025423349100318720,241166094528675840,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067899474522947695/transcript-closed-f7-241166094528675840.html,2023-01-25 21:07:42
189,990991977833197578,241166094528675840,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067899474522947695/transcript-closed-f7-241166094528675840.html,2023-01-25 21:08:15
190,990991977833197578,531148501942534164,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067899516847661187/transcript-closed-f7-14-pingixgd.html,2023-01-25 21:08:02
191,1025423349100318720,531148501942534164,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067899516847661187/transcript-closed-f7-14-pingixgd.html,2023-01-25 21:07:49
192,834371688963506217,623415037368729602,356134481452597250,7,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067899768350707843/transcript-t4-eman-28-fatkittenshart.html,2023-01-25 21:12:13
193,834371688963506217,419125063468580874,356134481452597250,10,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067899660653576232/transcript-t4-eman-26-sir_lime_.html,2023-01-25 21:11:47
194,834371688963506217,698180929021018183,,2,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067909128263057439/transcript-t4-eman-resi.html,2023-01-25 21:36:12
195,1025423349100318720,302937935001550851,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067914686319837224/transcript-closed-f7-19-sharpieink.html,2023-01-25 22:10:56
196,990991977833197578,302937935001550851,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067914686319837224/transcript-closed-f7-19-sharpieink.html,2023-01-25 22:11:25
197,834371688963506217,720342702712946710,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067915541177704603/transcript-t4-eman-25-marcodimango.html,2023-01-25 22:14:48
198,717380188417032215,485623087744811008,,4,F6,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067923260366393466/transcript-claimed-f6-3773.html,2023-01-25 22:44:17
199,990991977833197578,430166654115119106,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067928721371189298/transcript-closed-f7-24-andrewd125.html,2023-01-25 23:07:17
200,1025423349100318720,430166654115119106,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067928721371189298/transcript-closed-f7-24-andrewd125.html,2023-01-25 23:06:35
201,717380188417032215,610129673673900044,356134481452597250,5,F6,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067938419927420958/transcript-f6-0-wenimchaindasuma.html,2023-01-25 23:45:19
202,726716297114550273,792069182157226004,356134481452597250,5,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067943334598938728/transcript-t4-eman-24-heroicmidas.html,2023-01-26 00:05:18
203,1030948883104272444,482913678929428482,,3,F5,S,https://cdn.discordapp.com/attachments/796770232340578365/1068007919137857627/transcript-claimed-f5-4460.html,2023-01-26 04:20:56
204,1025423349100318720,384859967498354688,,1,F6,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1068012219129921576/transcript-closed-f6-16-keeganroo.html,2023-01-26 04:38:59
205,726660898793717800,795158441663922176,,3,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1068034202861314079/transcript-t4-eman-23-dark_general40.html,2023-01-26 05:38:05
206,644692456201519105,610129673673900044,884589309037011015,5,F6,S+,https://cdn.discordapp.com/attachments/796770232340578365/1068013543875690506/transcript-closed-f6-0-wenimchaindasuma.html,2023-01-26 00:58:42
